Cohort_id	Trait_onto_ID	Cancer_type	Cancer_subtype	Cancer_DOID	Case_name	Case_age_group	Case_sex	Case_size	Control_name	Control_age_group	Control_sex	Control_size	Condition	Conclusion	Platform	Tissue	Type	pubmed_id
METAC_37	27	breast cancer	nan	1612	breast cancer tumor tissue		F	173	breast cancer normal tissue		F	10	Positive ion mode (ESI+) results for all investigated lipids in Tumor vs. normal	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_38	164	breast cancer	PR positive and negative	1612	PR- breast cancer		F	46	PR+ breast cancer		F	111	Positive ion mode (ESI+) results for all investigated lipids in PR- vs. PR+	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_39	93	breast cancer	HER2 positive and negative	1612	HER2 positive breast cancer		F	33	HER2 negative breast cancer		F	116	Positive ion mode (ESI+) results for all investigated lipids in HER2+ vs. HER2-	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_40	72	breast cancer	ER positive and negative	1612	ER- breast cancer		F	34	ER+ breast cancer		F	125	Negative ion mode (ESI-) results for all investigated lipids in ER- vs. ER+	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_41	29	breast cancer	nan	1612	Grade 3 breast cancer		F	63	Grade 1&2 breast cancer		F	106	Negative ion mode (ESI-) results for all investigated lipids in Grade 3 vs 1&2	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_42	27	breast cancer	nan	1612	breast cancer tumor tissue		F	173	breast cancer normal tissue		F	10	Negative ion mode (ESI-) results for all investigated lipids in Tumor vs. normal	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_43	164	breast cancer	PR positive and negative	1612	PR- breast cancer		F	46	PR+ breast cancer		F	111	Negative ion mode (ESI-) results for all investigated lipids in PR- vs. PR+	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_44	93	breast cancer	HER2 positive and negative	1612	HER2 positive breast cancer		F	33	HER2 negative breast cancer		F	116	Negative ion mode (ESI-) results for all investigated lipids in HER2+ vs. HER2-	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_45	129	breast cancer	Postmenopausal Breast Cancer	1612	Metabolic syndrome	67.8 ± 1.8	F	42	No metabolic syndrome	65.3 ± 1.4	F	63	Metabolic profile of postmenopausal breast cancer patients between Metabolic syndrome and non-Metabolic syndrome	metabolic syndrome may be associated with a more aggressive tumour biology	nan	Venous blood	case vs.control group	20189371
METAC_46	129	breast cancer	nan	1612	Overweight/Obese Breast Cancer Survivors	55.9 ±9.4	F	42					Clinical Measurements and Metabolic Syndrome Diagnostic Criteria among Overweight=Obese Breast Cancer Survivors	In our sample, overweight breast cancer survivors commonly have MetS and elevated CRP that place them at increased risk for cardiovascular and other metabolic diseases	nan	Blood	profiling group	20044868
METAC_47	128	breast cancer	nan	1612	Premenopausal women 	40.3	F	108	Controls	39.6	F	125	Metabolic and Endocrine Parameters in a Sample of Premenopausal Women in Southern Spain	The metabolic profile differed between pre- and postmenopausal patients, and metabolic alterations were greater in postmenopausal than in premenopausal women. The differences between healthy subjects and breast cancer patients were clearly significant.	Laboratory assays	Peripheral blood	case vs.control group	18665244
METAC_48	128	breast cancer	nan	1612	Postmenopausal women 	62.9	F	96	Controls	62.5	F	125	Metabolic and Endocrine Parameters in a Sample of Postmenopausal Women in Southern SPAIN	The metabolic profile differed between pre- and postmenopausal patients, and metabolic alterations were greater in postmenopausal than in premenopausal women. The differences between healthy subjects and breast cancer patients were clearly significant.	Laboratory assays	Peripheral blood	case vs.control group	18665244
METAC_49	126	breast cancer	nan	1612	High MBD (Mammographic breast density) cases	51.6 ± 6.9	F	87	Low MBD (Mammographic breast density) cases	54.3 ± 6.7	F	87	Metabolites concentration among low- and high-MBD (Mammographic breast density) BC cases	This case–case study suggested a possible role for pre-diagnostic levels of tyrosine in modulating the risk of BC in high- versus low-MBD women.	¹H NMR	Serum	case vs.control group	34158597
METAC_50	36	breast cancer	nan	1612	Staged I breast cancer		F	30	Controls	52.74 ± 11.86	F	86	Significant Metabolites for Comparison of Staged I Breast Cancer Patients and Healthy Controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_51	36	breast cancer	nan	1612	stage II breast cancer		F	53	Controls	52.74 ± 11.86	F	86	Significant Metabolites for Comparison of Staged II Breast Cancer Patients and Healthy Controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_52	36	breast cancer	nan	1612	stages I + II breast cancer		F	83	Controls	52.74 ± 11.86	F	86	Significant Metabolites for Comparison of Staged I + II Breast Cancer Patients and Healthy Controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_53	36	breast cancer	nan	1612	stage III breast cancer		F	41	Controls	52.74 ± 11.86	F	86	Significant Metabolites for Comparison of Staged III Breast Cancer Patients and Healthy Controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_54	27	breast cancer	nan	1612	Breast cancer	55.68 ± 10.97	F	124	Controls	52.74 ± 11.86	F	86	Significant metabolites/features detected by LC-QTOF-MS for comparison of breast cancer and controls.	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_55	27	breast cancer	nan	1612	Breast cancer	55.68 ± 10.97	F	124	Controls	52.74 ± 11.86	F	86	Significant metabolites detected by LC-QQQ-MS for comparison of breast cancer and controls.	nan	LC-QQQ-MS	Plasma	case vs.control group	34033488
METAC_56	72	breast cancer	nan	1612	ER+ breast cancer		F	115	Controls	52.74 ± 11.86	F	86	Metabolite differences of patients with varying ER+ and healthy controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_57	72	breast cancer	nan	1612	ER- breast cancer		F	9	Controls	52.74 ± 11.86	F	86	Metabolite differences of patients with varying ER- and healthy controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_58	164	breast cancer	ER positive	1612	PR+ breast cancer		F	105	Controls	52.74 ± 11.86	F	86	Metabolite differences of patients with varying PR+ status and healthy controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_59	164	breast cancer	ER negative	1612	PR- breast cancer		F	19	Controls	52.74 ± 11.86	F	86	Metabolite differences of patients with varying PR- status and healthy controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_60	93	breast cancer	HER2 positive	1612	HER2 positive breast cancer		F	22	Controls	52.74 ± 11.86	F	86	Metabolite differences of patients with varying HER2+ versus healthy controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_61	93	breast cancer	HER2 negative	1612	HER2- breast cancer		F	80	Controls	52.74 ± 11.86	F	86	Metabolite differences of patients with varying HER2- versus healthy controls	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_62	72	breast cancer	ER positive and negative	1612	ER+ breast cancer		F	115	ER- breast cancer		F	9	Differences in metabolites of breast cancer patients of varying ER status	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_63	164	breast cancer	PR positive and negative	1612	PR+ breast cancer		F	105	PR- breast cancer		F	19	Differences in metabolites of breast cancer patients of varying PR status	nan	LC-QTOF-MS	Plasma	case vs.control group	34033488
METAC_64	108	breast cancer	luminal B	1612	LB: luminal B breast cancer	49 (27-75)	F	61	HC: healthy control	50 (42-56)	F	64	Differences in metabolites of luminal B and healthy control: positive electrospray ionization modes (ESI+)	We found a biomarker panel of 5 candidates in LA, 7 in LB, 5 in HER2 and 3 in TN that were able to discriminate each breast cancer subtype with a false discovery range corrected p-value < 0.05 and a fold-change cutoff value > 1.3	LC-HRMS	Plasma	case vs.control group	33466323
METAC_65	108	breast cancer	luminal B	1612	LB: luminal B breast cancer	49 (27-75)	F	61	HC: healthy control	50 (42-56)	F	64	Differences in metabolites of luminal B and healthy control: negative electrospray ionization modes (ESI-)	We found a biomarker panel of 5 candidates in LA, 7 in LB, 5 in HER2 and 3 in TN that were able to discriminate each breast cancer subtype with a false discovery range corrected p-value < 0.05 and a fold-change cutoff value > 1.3	LC-HRMS	Plasma	case vs.control group	33466323
METAC_66	107	breast cancer	luminal A	1612	LA: luminal A breast cancer	50 (32-81)	F	21	HC: healthy control	49 (34-60)	F	21	Differences in metabolites of luminal A and healthy control: positive electrospray ionization modes (ESI+)	We found a biomarker panel of 5 candidates in LA, 7 in LB, 5 in HER2 and 3 in TN that were able to discriminate each breast cancer subtype with a false discovery range corrected p-value < 0.05 and a fold-change cutoff value > 1.3	LC-HRMS	Plasma	case vs.control group	33466323
METAC_67	107	breast cancer	luminal A	1612	LA: luminal A breast cancer	50 (32-81)	F	21	HC: healthy control	49 (34-60)	F	21	Differences in metabolites of luminal A and healthy control: negative electrospray ionization modes (ESI-)	We found a biomarker panel of 5 candidates in LA, 7 in LB, 5 in HER2 and 3 in TN that were able to discriminate each breast cancer subtype with a false discovery range corrected p-value < 0.05 and a fold-change cutoff value > 1.3	LC-HRMS	Plasma	case vs.control group	33466323
METAC_68	210	breast cancer	triple negative	1612	TN: triple negative breast cancer	49 (29-71)	F	15	HC: healthy control	51 (26-63)	F	15	Differences in metabolites of triple negative and healthy control: positive electrospray ionization modes (ESI+)	We found a biomarker panel of 5 candidates in LA, 7 in LB, 5 in HER2 and 3 in TN that were able to discriminate each breast cancer subtype with a false discovery range corrected p-value < 0.05 and a fold-change cutoff value > 1.3	LC-HRMS	Plasma	case vs.control group	33466323
METAC_70	93	breast cancer	HER2 positive	1612	HER2: human epidermal growth factor receptor 2 positive breast cancer	51 (33-70)	F	34	HC: healthy control	49 (28-62)	F	34	Differences in metabolites of HER2 positive and healthy control: positive electrospray ionization modes (ESI+)	We found a biomarker panel of 5 candidates in LA, 7 in LB, 5 in HER2 and 3 in TN that were able to discriminate each breast cancer subtype with a false discovery range corrected p-value < 0.05 and a fold-change cutoff value > 1.3	LC-HRMS	Plasma	case vs.control group	33466323
METAC_71	93	breast cancer	HER2 positive	1612	HER2: human epidermal growth factor receptor 2 positive breast cancer	51 (33-70)	F	34	HC: healthy control	49 (28-62)	F	34	Differences in metabolites of HER2 positive and healthy control: negative electrospray ionization modes (ESI-)	We found a biomarker panel of 5 candidates in LA, 7 in LB, 5 in HER2 and 3 in TN that were able to discriminate each breast cancer subtype with a false discovery range corrected p-value < 0.05 and a fold-change cutoff value > 1.3	LC-HRMS	Plasma	case vs.control group	33466323
METAC_72	27	breast cancer	nan	1612	Breast Cancers	47.52 ± 9.79	F	23	Healthy Controls	42.00 ± 13.83	F	35	Potential salivary metabolites of breast cancer.	Using the METLIN database, 31 compounds that were upregulated in the breast cancer group (p < 0.05) were identified, including seven oligopeptides and six glycerophospholipids (PG14:2, PA32:1, PS28:0, PS40:6, PI31:1, and PI38:7)	LC/MS	Saliva	case vs.control group	33322065
METAC_73	40	breast cancer	nan	1612	Breast cancer After treatment	51 ± 1	F	99	Breast cancer baseline	51 ± 1	F	99	Effects of chemotherapy on body composition and physical activity in women receiving treatment for breast cancer.	CT was associated with an increase in total and central adiposity, insulin resistance, and all lipid-related markers, and a decrease in appendicular lean mass index, BMD and HDL-c concentration.	Biochemical analyses	Blood	case vs.control group	33309160
METAC_74	40	breast cancer	nan	1612	Breast cancer After treatment	42 ± 1	F	40	Breast cancer baseline	42 ± 1	F	40	Effects of chemotherapy on body composition and physical activity in Premenopausal women receiving treatment for breast cancer.	nan	Biochemical analyses	Blood	case vs.control group	33309160
METAC_75	40	breast cancer	nan	1612	Breast cancer After treatment	57 ± 1	F	59	Breast cancer baseline	57 ± 1	F	59	Effects of chemotherapy on body composition and physical activity in Postmenopausal women receiving treatment for breast cancer.	nan	Biochemical analyses	Blood	case vs.control group	33309160
METAC_76	27	breast cancer	nan	1612	Breast cancer patients		F	10	Healthy subjects		F	12	nail lysates metabolites between Breast cancer patients and Healthy subjects	The analysis on collected data of nail metabolites clearly suggested that FAAAs including tryptophan, tyrosine, phenylalanine, and histidine were undetectable in nail lysates of breast cancer over healthy subjects. This is a first report that showed highly reduced levels of FAAAs in nails of breast cancer patients. Furthermore, the present observation is in consonance with previous findings that showed cancer cachexia and high amino acid catabolism in breast cancer patients that drive metabolite-led cancer growth and proliferation	LC-HRMS	Nail lysate	case vs.control group	32695662
METAC_77	27	breast cancer	nan	1612	Breast cancer		F	59	control		F	40	To identify significant compounds comparing breast cancer vs. controls by using GC-TOF-MS	nan	GC-TOF-MS	Breast tissue	case vs.control group	32344578
METAC_78	27	breast cancer	nan	1612	Breast cancer		F	59	control		F	40	To identify significant compounds comparing breast cancer vs. controls by using HILIC-ESI-QTOF-MS/MS	nan	HILIC-ESI-QTOF-MS/MS	Breast tissue	case vs.control group	32344578
METAC_79	27	breast cancer	nan	1612	breast cancer patients		F	25	benign breast disease as controls		F	25	differences identified by positive ion mode between breast cancer and control groups	1-myristoyl-sn-glycero-3-phosphocholine, 1-palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine and 1-stearoyl-2-hydroxy-sn-glycero-3-phosphocholine were different with lower P value.	LC-MS	Blood	case vs.control group	32272885
METAC_80	210	breast cancer	ER-, PR-, HER2-	1612	TN: triple negative breast cancer	51.5 ± 10.2	F	31	health controls	51.7 ± 10.6	F	31	Signifcantly altered metabolites in TNBC vs. healthy controls in the analysis of LC-MS positive mode and LC-MS negative mode	77 metabolites, whose levels were signifcantly diferent between TNBC with CN, were confrmed.	UHPLC-HRMS	Serum	case vs.control group	31941951
METAC_81	161	breast cancer	nan	1612	Carbohydrate group		F	25	Fasting group		F	35	Serum metabolites with p-values from t-tests, fasting group versus carbohydrate (CH), for all patients	Fourteen of 28 metabolites were differently expressed between fasting and carbohydrate groups. Partial least squares discriminant analysis showed a significant difference in the metabolic profile between the fasting and carbohydrate groups, compatible with the endocrine effects of insulin (i.e., increased serum-lactate and pyruvate and decreased ketone bodies and amino acids in the carbohydrate group). Among ER-positive tumors (n = 18), glutathione was significantly elevated in the carbohydrate group compared to the fasting group (p = 0.002), with a positive correlation between preoperative S-insulin levels and the glutathione content in tumors (r = 0.680; p = 0.002). In all tumors (n = 29), glutamate was increased in tumors with high proliferation (t-test; p = 0.009), independent of intervention group.	¹H NMR	Serum	case vs.control group	31801490
METAC_82	161	breast cancer	ER positive	1612	ER+ Carbohydrate group		F	20	ER+ Fasting group		F	29	Serum metabolites with p-values from t-tests, fasting group versus carbohydrate (CH) for the ER positive subset	Fourteen of 28 metabolites were differently expressed between fasting and carbohydrate groups. Partial least squares discriminant analysis showed a significant difference in the metabolic profile between the fasting and carbohydrate groups, compatible with the endocrine effects of insulin (i.e., increased serum-lactate and pyruvate and decreased ketone bodies and amino acids in the carbohydrate group). Among ER-positive tumors (n = 18), glutathione was significantly elevated in the carbohydrate group compared to the fasting group (p = 0.002), with a positive correlation between preoperative S-insulin levels and the glutathione content in tumors (r = 0.680; p = 0.002). In all tumors (n = 29), glutamate was increased in tumors with high proliferation (t-test; p = 0.009), independent of intervention group.	¹H NMR	Serum	case vs.control group	31801490
METAC_83	161	breast cancer	nan	1612	Carbohydrate group		F	16	Fasting group		F	13	Tumor metabolites with fold changes and t-test p-values in carbohydrate vs fasting groups	Fourteen of 28 metabolites were differently expressed between fasting and carbohydrate groups. Partial least squares discriminant analysis showed a significant difference in the metabolic profile between the fasting and carbohydrate groups, compatible with the endocrine effects of insulin (i.e., increased serum-lactate and pyruvate and decreased ketone bodies and amino acids in the carbohydrate group). Among ER-positive tumors (n = 18), glutathione was significantly elevated in the carbohydrate group compared to the fasting group (p = 0.002), with a positive correlation between preoperative S-insulin levels and the glutathione content in tumors (r = 0.680; p = 0.002). In all tumors (n = 29), glutamate was increased in tumors with high proliferation (t-test; p = 0.009), independent of intervention group.	HR-MAS MRS	Breast tissue	case vs.control group	31801490
METAC_84	161	breast cancer	ER positive	1612	ER+ Carbohydrate group		F	11	ER+ Fasting group		F	9	Tumor metabolites with fold changes and t-test p-values in carbohydrate vs fasting groups for the ER positive subset	Fourteen of 28 metabolites were differently expressed between fasting and carbohydrate groups. Partial least squares discriminant analysis showed a significant difference in the metabolic profile between the fasting and carbohydrate groups, compatible with the endocrine effects of insulin (i.e., increased serum-lactate and pyruvate and decreased ketone bodies and amino acids in the carbohydrate group). Among ER-positive tumors (n = 18), glutathione was significantly elevated in the carbohydrate group compared to the fasting group (p = 0.002), with a positive correlation between preoperative S-insulin levels and the glutathione content in tumors (r = 0.680; p = 0.002). In all tumors (n = 29), glutamate was increased in tumors with high proliferation (t-test; p = 0.009), independent of intervention group.	HR-MAS MRS	Breast tissue	case vs.control group	31801490
METAC_85	27	breast cancer	nan	1612	Breast Cancer (BC)	59 ± 10	F	40	Control (CTL)	53 ± 8	F	38	Metabolites found in urine samples from breast cancer (BC) patients and healthy controls	A total of 10 metabolites exhibited the highest contribution towards discriminating breast cancer patients from healthy controls (variable importance in projection (VIP) >1, p < 0.05).	¹H NMR	Urine	case vs.control group	31703396
METAC_86	190	breast cancer	nan	1612	Partial response breast cancer patients (pre-RT stage)		F	24	Control		F	40	Partial response breast cancer patients (pre-RT stage) VS control	Our results highlight the importance of metabolism in the outcomes of patients with BC	GC-EI-QTOF-MS	Serum	case vs.control group	31679126
METAC_87	190	breast cancer	nan	1612	Complete response breast cancer patients (pre-RT)		F	13	Control		F	40	Complete response breast cancer patients (post-RT) VS control	Our results highlight the importance of metabolism in the outcomes of patients with BC	GC-EI-QTOF-MS	Serum	case vs.control group	31679126
